id,x,y,radius
0,0.500000,0.500000,0.220000
1,0.500000,0.500000,0.240000
2,0.500000,0.500000,0.260000
3,0.500000,0.500000,0.280000
4,0.500000,0.500000,0.300000
5,0.500000,0.500000,0.320000
6,0.500000,0.500000,0.340000
7,0.500000,0.500000,0.360000
8,0.500000,0.500000,0.380000
9,0.500000,0.500000,0.400000
10,0.500000,0.500000,0.420000
11,0.500000,0.500000,0.440000
12,0.500000,0.500000,0.460000
13,0.500000,0.500000,0.480000
14,0.500000,0.500000,0.500000
15,0.500000,0.500000,0.020000
16,0.500000,0.500000,0.040000
17,0.500000,0.500000,0.060000
18,0.500000,0.500000,0.080000
19,0.500000,0.500000,0.100000
20,0.500000,0.500000,0.120000
21,0.500000,0.500000,0.140000
22,0.500000,0.500000,0.160000
23,0.500000,0.500000,0.180000
24,0.500000,0.500000,0.200000
